Feature,Importance
critic_score,0.18719338923439574
game_age,0.12076394152271916
release_year,0.11925489032952666
has_critic_score,0.06873964401590718
publisher_Other,0.04639216930366308
console_PC,0.03478697000450439
console_PS2,0.029031600608329874
developer_Other,0.02877451149805153
console_Other,0.026608764267962624
publisher_Electronic Arts,0.0238061528622634
genre_Shooter,0.023217640348028482
developer_Traveller's Tales,0.015251487664038147
genre_Sports,0.01511041169343736
publisher_EA Sports,0.012837858560663917
genre_Strategy,0.011948424091235444
console_PS3,0.011752549655449565
genre_Misc,0.011743557614183634
console_X360,0.01164348580005447
genre_Racing,0.011365664772429063
console_PS4,0.010812873575201724
genre_Role-Playing,0.010691881831905958
console_GBA,0.010616035801837691
genre_Platform,0.010557943102350073
console_PS,0.010165555326656738
console_Wii,0.009977261577885622
publisher_Ubisoft,0.009537978020450654
genre_Simulation,0.009162139594840815
genre_Adventure,0.008769693505390435
console_XB,0.008443305174086972
genre_Fighting,0.008209778695302126
publisher_Sega,0.007777110337794591
publisher_Konami,0.007109731612137927
genre_Puzzle,0.006950998708161673
publisher_THQ,0.006683051759306881
publisher_Sony Computer Entertainment,0.006681033255988309
publisher_Capcom,0.00565190343034578
genre_Action-Adventure,0.004909965828161174
developer_Visual Concepts,0.004740145820062841
publisher_Atari,0.004601144472406023
developer_EA Canada,0.004596532416235055
developer_Ubisoft Montreal,0.004364692275947822
developer_EA Tiburon,0.0041181784030962275
developer_Konami,0.0030230413703000057
developer_Capcom,0.0025674196417987787
developer_Unknown,0.0025565083002261025
genre_MMO,0.002136294699546005
developer_Ubisoft,0.0021095583571674346
genre_Music,0.0014117957073666043
genre_Visual Novel,0.0007945618272780207
genre_Party,4.375595284694476e-05
genre_Education,5.015771073164572e-06
genre_Board Game,0.0
genre_Sandbox,0.0
